word	pos	year	freq	total_nmeanings	ncrosses	nmeanings
seresear1	adj	824	4	2	1	1
ˈblowing2	adj	917	2	1	0	1
ˈhungering	adj	971	3	1	0	1
silver-hilted	adj	1002	2	1	0	1
toll-free	adj	1052	4	1	0	1
aware	adj	1095	6	3	2	1
mucked	adj	1290	2	1	0	1
apaid	adj	1297	2	2	1	1
fourscore	adj	1297	3	1	0	1
glozing	adj	1297	2	1	0	1
seventieth	adj	1297	4	1	0	1
unˈhosed	adj	1297	2	1	0	1
unˈshrined	adj	1297	2	1	0	1
unˈtilled	adj	1297	3	1	0	1
ˈwaxing	adj	1297	3	1	0	1
purpurine	adj	1300	2	1	0	1
deceivable	adj	1303	2	2	1	1
saffroned	adj	1303	2	1	0	1
unˈcourteous	adj	1303	3	1	0	1
unˈshent	adj	1303	2	1	0	1
upˈlift	adj	1303	4	1	0	1
well-kempt	adj	1327	2	1	0	1
cant	adj	1330	3	1	0	1
carven	adj	1330	3	1	0	1
marly1	adj	1335	3	1	0	1
unˈfain	adj	1338	2	1	0	1
admeasured	adj	1340	2	1	0	1
banned	adj	1340	4	1	0	1
ˈcleaving2	adj	1340	3	2	1	1
ˈcounterfeited	adj	1340	2	2	1	1
finned	adj	1340	3	1	0	1
folding	adj	1340	5	1	0	1
fulfilled	adj	1340	4	1	0	1
fulfilling	adj	1340	4	1	0	1
innumerable	adj	1340	5	1	0	1
lopper	adj	1340	2	1	0	1
nourishing	adj	1340	4	1	0	1
prow	adj	1340	3	1	0	1
scalled	adj	1340	2	1	0	1
soothful1	adj	1340	2	1	0	1
streck	adj	1340	2	1	0	1
unˈblissful	adj	1340	2	1	0	1
unˈcaught	adj	1340	3	1	0	1
unˈharmed	adj	1340	4	1	0	1
unˈspeaking	adj	1340	3	2	1	1
well-rooted	adj	1340	3	1	0	1
torn	adj	1362	5	1	0	1
unˈsold	adj	1362	4	1	0	1
roset	adj	1363	2	2	1	1
ˈblundering	adj	1367	4	1	0	1
violet	adj	1370	5	1	0	1
blameless	adj	1377	4	3	2	1
bootless2	adj	1377	2	1	0	1
borrelborel	adj	1377	2	2	1	1
breadless	adj	1377	2	1	0	1
challengeable	adj	1377	3	1	0	1
pommely	adj	1377	1	1	0	1
unˈcoupled2	adj	1377	3	1	0	1
unˈgraven	adj	1377	2	2	1	1
unˈtiled	adj	1377	2	1	0	1
wet-shod	adj	1377	2	1	0	1
witted	adj	1377	4	2	1	1
ˈwitting	adj	1377	2	1	0	1
well-boiled	adj	1381	2	1	0	1
ˈbackˌbiting	adj	1382	3	1	0	1
beˈhovefulbeˈhooveful	adj	1382	2	1	0	1
brayed	adj	1382	2	2	1	1
brimstony	adj	1382	2	1	0	1
ˈcanonized	adj	1382	3	1	0	1
ˈcomforting	adj	1382	5	1	0	1
deform	adj	1382	4	1	0	1
desired	adj	1382	6	3	2	1
deˈsireful	adj	1382	2	2	1	1
diˈvining	adj	1382	3	1	0	1
double-tongued	adj	1382	2	1	0	1
forgeable	adj	1382	2	1	0	1
gluey	adj	1382	3	1	0	1
gluish	adj	1382	2	1	0	1
goggle-eyed	adj	1382	3	1	0	1
gyved	adj	1382	2	1	0	1
inquiet	adj	1382	2	2	1	1
irreprehensible	adj	1382	2	1	0	1
lightful	adj	1382	2	1	0	1
specked	adj	1382	2	2	1	1
specky1	adj	1382	2	1	0	1
thyine	adj	1382	2	1	0	1
unaˈmended	adj	1382	3	1	0	1
unˈceasing	adj	1382	4	1	0	1
unˈchaste	adj	1382	4	1	0	1
unˈdamned	adj	1382	2	1	0	1
unexˈpugnable	adj	1382	2	1	0	1
unfulˈfilled	adj	1382	5	1	0	1
unˈholpen	adj	1382	2	1	0	1
unˈsatiable	adj	1382	3	1	0	1
unˈshamed	adj	1382	2	1	0	1
unˈsubject	adj	1382	2	1	0	1
unˈsupped	adj	1382	1	1	0	1
unˈwarded	adj	1382	2	1	0	1
vinolent	adj	1382	2	1	0	1
ˈwhirling	adj	1382	4	1	0	1
bleached	adj	1384	4	1	0	1
redoubted	adj	1385	2	1	0	1
moisty	adj	1386	2	3	2	1
blameableblamable	adj	1387	3	1	0	1
blameworthy	adj	1387	4	1	0	1
ˈleaming	adj	1387	4	1	0	1
pregnable	adj	1387	2	2	1	1
reft1	adj	1387	2	2	1	1
unaˈssoiled	adj	1387	2	2	1	1
unˈcustomable	adj	1387	1	2	1	1
unpregnable	adj	1387	2	1	0	1
unprovable	adj	1387	4	2	1	1
glistening	adj	1388	4	1	0	1
ˈhaunting	adj	1388	4	1	0	1
ˈhindering	adj	1390	3	1	0	1
sempitern	adj	1390	2	1	0	1
sharded1	adj	1390	2	2	1	1
unadˈvanced	adj	1390	2	1	0	1
unˈanswered	adj	1390	5	1	0	1
unˈsped	adj	1390	2	1	0	1
unˈwaked	adj	1390	2	1	0	1
bleary	adj	1393	4	1	0	1
chaseablechasable	adj	1393	2	1	0	1
chased1	adj	1393	2	1	0	1
cleft	adj	1393	5	1	0	1
conˈtinuing	adj	1393	6	2	1	1
cured1	adj	1393	4	2	1	1
forfeit	adj	1393	3	1	0	1
hungerly	adj	1393	2	1	0	1
separable	adj	1393	5	2	1	1
ˈsixscore	adj	1393	2	1	0	1
slimed	adj	1393	2	1	0	1
stole	adj	1393	3	1	0	1
ˈswan-white	adj	1393	2	1	0	1
banished	adj	1398	4	2	1	1
ˈbeastish	adj	1398	2	1	0	1
bended1	adj	1398	4	1	0	1
ˈbreathing	adj	1398	5	1	0	1
clammy	adj	1398	4	2	1	1
ˈcloven-ˌfooted	adj	1398	3	1	0	1
comˈplaining	adj	1398	3	1	0	1
complexional	adj	1398	2	3	2	1
concupiscible	adj	1398	3	2	1	1
conˈstraining	adj	1398	4	2	1	1
corpulent	adj	1398	4	3	2	1
curable	adj	1398	4	2	1	1
darkish	adj	1398	3	1	0	1
defaultive	adj	1398	1	1	0	1
dented	adj	1398	3	3	2	1
diˈstemperate	adj	1398	2	3	2	1
ˈduring1	adj	1398	6	1	0	1
enraged	adj	1398	4	3	2	1
fluvial	adj	1398	4	1	0	1
formable	adj	1398	3	2	1	1
gall-less	adj	1398	2	1	0	1
ˈglistering	adj	1398	2	1	0	1
goutish	adj	1398	2	1	0	1
groaning	adj	1398	4	1	0	1
hindermost	adj	1398	2	1	0	1
holey	adj	1398	3	1	0	1
ˈhoundish	adj	1398	2	1	0	1
immoderate	adj	1398	4	3	2	1
ingenerable1	adj	1398	2	1	0	1
irascible	adj	1398	4	1	0	1
kernelledkerneled1	adj	1398	2	1	0	1
leady	adj	1398	2	1	0	1
sawing	adj	1398	3	2	1	1
seminative	adj	1398	2	1	0	1
shaping	adj	1398	4	1	0	1
ˈslaying	adj	1398	4	1	0	1
sourish	adj	1398	3	1	0	1
stammering	adj	1398	4	1	0	1
stopping	adj	1398	4	2	1	1
ˈstraining	adj	1398	3	1	0	1
stretchable	adj	1398	3	1	0	1
three-edged	adj	1398	2	1	0	1
unˈbodily	adj	1398	2	1	0	1
unˈgelded	adj	1398	2	1	0	1
unredressed	adj	1398	3	1	0	1
unrepaired	adj	1398	3	1	0	1
unrestored	adj	1398	3	1	0	1
vaporable	adj	1398	2	2	1	1
wagging	adj	1398	3	1	0	1
billed1	adj	1399	3	1	0	1
dullish	adj	1399	3	1	0	1
