word	pos	year	freq	total_nmeanings	ncrosses	nmeanings
misfall	v	1340	1	2	1	1
ˈthreapen	v	1340	1	2	1	1
ˈwarrok	v	1362	1	2	1	1
swayve	v	1377	1	1	0	1
underˈcreep	v	1382	1	2	0	2
bedark	v	1393	1	1	0	1
beˈtread	v	1398	1	1	0	1
underˈhole	v	1398	1	1	0	1
aˈttermine	v	1413	1	1	0	1
replevish	v	1433	1	1	0	1
querken	v	1440	1	1	0	1
disarrest	v	1443	1	1	0	1
overfret2	v	1445	1	1	0	1
rubrish	v	1469	1	1	0	1
dishelm1	v	1477	1	1	0	1
resplendish	v	1479	1	2	1	1
reprick	v	1486	1	2	1	1
re-proffer	v	1486	1	2	1	1
obfusk	v	1490	1	1	0	1
rowcast	v	1500	1	1	0	1
ˈculyeculȝe	v	1510	1	1	0	1
verbate	v	1512	1	1	0	1
ˈsmotter	v	1513	1	1	0	1
thrimp	v	1513	1	1	0	1
wheak	v	1513	1	1	0	1
underˈhew	v	1523	1	2	0	2
reverdure	v	1525	1	1	0	1
mistetch	v	1529	1	1	0	1
alighten2	v	1530	1	2	1	1
misagree	v	1530	1	2	1	1
unnock	v	1530	1	1	0	1
adumber	v	1535	1	1	0	1
inthronizate	v	1535	1	1	0	1
rejourney	v	1535	1	2	0	2
fuffle	v	1536	1	1	0	1
abrenounce	v	1537	1	1	0	1
inhiate	v	1543	1	1	0	1
ˈcludder	v	1545	1	2	1	1
regratify	v	1545	1	1	0	1
murmell	v	1546	1	2	0	2
empowder	v	1548	1	1	0	1
floccipend	v	1548	1	1	0	1
shaffle	v	1552	1	2	0	2
plentify	v	1555	1	1	0	1
supputate	v	1555	1	1	0	1
adnote	v	1558	1	1	0	1
outbelch	v	1558	1	2	1	1
upˈsteer	v	1558	1	1	0	1
re-quit2	v	1559	1	1	0	1
premonstrate	v	1562	1	1	0	1
reworship	v	1562	1	1	0	1
reyield	v	1562	1	1	0	1
flaite2	v	1565	1	1	0	1
sejoin	v	1568	1	1	0	1
ˈfloister	v	1569	1	1	0	1
dispunct	v	1570	1	1	0	1
ˈfaffle	v	1570	1	1	0	1
overflourish	v	1570	1	3	2	1
ˈsouren	v	1570	1	1	0	1
ˈtopsy-ˈturn	v	1573	1	1	0	1
abastardize	v	1574	1	1	0	1
bespirit	v	1574	1	2	0	2
unˈspit	v	1574	1	1	0	1
arrode	v	1575	1	1	0	1
beblister	v	1575	1	1	0	1
torfle	v	1575	1	1	0	1
rehonourrehonor	v	1576	1	1	0	1
shoggle	v	1577	1	3	0	3
overdrown	v	1579	1	1	0	1
overgrass	v	1579	1	1	0	1
reappease	v	1579	1	1	0	1
re-expect	v	1579	1	1	0	1
yolp	v	1579	1	1	0	1
disrump1	v	1581	1	1	0	1
upˈbray	v	1581	1	3	2	1
repropitiate	v	1582	1	1	0	1
monsterfy	v	1584	1	1	0	1
rejolt	v	1584	1	2	1	1
cankerfret	v	1585	1	1	0	1
ˈdepthen	v	1587	1	1	0	1
overdrip	v	1587	1	1	0	1
rubrify	v	1587	1	1	0	1
ˈstomber	v	1588	1	2	0	2
reconvent	v	1589	1	1	0	1
re-entice	v	1589	1	1	0	1
adempt	v	1590	1	1	0	1
discrepate	v	1590	1	2	1	1
repurple	v	1590	1	1	0	1
outstrain	v	1591	1	3	0	3
submonish	v	1591	1	1	0	1
upˈswallow	v	1591	1	1	0	1
godize	v	1592	1	1	0	1
reharm	v	1592	1	1	0	1
reincense1	v	1592	1	2	1	1
remonarchize	v	1592	1	1	0	1
reslide	v	1592	1	2	1	1
re-wish	v	1592	1	1	0	1
anthropophagize	v	1593	1	1	0	1
disparish2	v	1593	1	1	0	1
monogamize	v	1593	1	2	1	1
oblivionize	v	1593	1	1	0	1
outsuffer	v	1593	1	1	0	1
pitch brand	v	1593	1	1	0	1
retranquillizeretranquilize	v	1593	1	1	0	1
soldierize	v	1593	1	3	0	3
overmourn	v	1594	1	2	1	1
reunfold	v	1594	1	1	0	1
ˈscarcen	v	1594	1	2	0	2
pastorize	v	1595	1	1	0	1
augurize	v	1596	1	1	0	1
comedize	v	1596	1	2	0	2
dialoguize	v	1596	1	1	0	1
enˈharbour	v	1596	1	1	0	1
out-beard	v	1596	1	1	0	1
redisburse	v	1596	1	1	0	1
gangrenize	v	1598	1	1	0	1
meliorize	v	1598	1	1	0	1
perfricate	v	1598	1	1	0	1
pinguefy	v	1598	1	2	1	1
recollocate	v	1598	1	1	0	1
rehumble	v	1598	1	1	0	1
remanure	v	1598	1	1	0	1
serenize	v	1598	1	1	0	1
subordain	v	1598	1	4	3	1
albify	v	1599	1	1	0	1
deglute	v	1599	1	1	0	1
forelive	v	1599	1	1	0	1
resucceed	v	1599	1	1	0	1
retrogradate	v	1599	1	1	0	1
bepester	v	1600	1	1	0	1
ˈdiamondize	v	1600	1	2	0	2
discanonize	v	1600	1	2	1	1
ˈdoctorize	v	1600	1	1	0	1
noblify	v	1600	1	1	0	1
outpeep	v	1600	1	1	0	1
redesire	v	1600	1	1	0	1
refound3	v	1600	1	1	0	1
ˈswithen	v	1600	1	1	0	1
discloak	v	1601	1	1	0	1
exˈsibilate	v	1601	1	1	0	1
shrig	v	1601	1	1	0	1
super-arrogate	v	1601	1	1	0	1
transfashion	v	1601	1	1	0	1
disculp	v	1602	1	1	0	1
poetrize	v	1602	1	1	0	1
rancel	v	1602	1	3	1	2
scoad	v	1602	1	1	0	1
coagment	v	1603	1	1	0	1
dischain	v	1603	1	1	0	1
discombine	v	1603	1	1	0	1
disˈvisage	v	1603	1	1	0	1
godify	v	1603	1	1	0	1
out-toil	v	1603	1	2	1	1
pyrrhonize	v	1603	1	2	1	1
remorphize	v	1603	1	1	0	1
resuck	v	1603	1	1	0	1
vapulate	v	1603	1	2	0	2
adhorn	v	1605	1	1	0	1
befoam	v	1605	1	1	0	1
bemaim	v	1605	1	1	0	1
discabinet	v	1605	1	1	0	1
disˈmatch	v	1605	1	1	0	1
dissceptre	v	1605	1	1	0	1
encheer	v	1605	1	1	0	1
foupe	v	1605	1	1	0	1
mislodge	v	1605	1	2	1	1
polygamize	v	1605	1	1	0	1
recatholize	v	1605	1	1	0	1
retomb	v	1605	1	1	0	1
rewhelp	v	1605	1	1	0	1
ˈsycophantize	v	1605	1	2	1	1
belibel	v	1606	1	1	0	1
church-out	v	1606	1	1	0	1
diffranchise	v	1606	1	1	0	1
rejerk	v	1606	1	1	0	1
respew	v	1606	1	1	0	1
subdichotomize	v	1606	1	1	0	1
subodorate	v	1606	1	1	0	1
supersubstantiate	v	1606	1	1	0	1
coadore	v	1607	1	1	0	1
dijudicate	v	1607	1	1	0	1
facilize	v	1607	1	1	0	1
languefy	v	1607	1	2	1	1
outhumourouthumor	v	1607	1	2	1	1
outswagger	v	1607	1	1	0	1
reimportune	v	1607	1	1	0	1
ˈstrapple	v	1607	1	2	1	1
stroddle	v	1607	1	1	0	1
superonerate	v	1607	1	1	0	1
overdrop	v	1608	1	1	0	1
cataloguize	v	1609	1	1	0	1
deˈglutinate	v	1609	1	2	1	1
dislock	v	1609	1	1	0	1
empatron	v	1609	1	1	0	1
legionize	v	1609	1	1	0	1
misact	v	1609	1	1	0	1
re-accuse	v	1609	1	1	0	1
recheer	v	1609	1	2	0	2
